Titulo,Autor,Año de publicación
"El Señor de los Anillos: La Comunidad del Anillo","J.R.R. Tolkien",1954
"Harry Potter y la piedra filosofal","J.K. Rowling",1997
"El nombre del viento","Patrick Rothfuss",2007
"El bosque oscuro","C.S. Lewis",1950
"La princesa prometida","William Goldman",1973
"La materia oscura","Philip Pullman",1995
"La Torre Oscura: El Pistolero","Stephen King",1982
"El juego de Ender","Orson Scott Card",1985
"La espada de la verdad","Terry Goodkind",1994
"Las crónicas de Narnia: El león, la bruja y el ropero","C.S. Lewis",1950
"American Gods","Neil Gaiman",2001
"Un mago de Terramar","Ursula K. Le Guin",1968
"El ciclo de Terramar","Ursula K. Le Guin",1972
"El último unicornio","Peter S. Beagle",1968
"La Rueda del Tiempo: El Ojo del Mundo","Robert Jordan",1990
"El archivo de las tormentas","Brandon Sanderson",2010
"Nunca donde","Neil Gaiman",1996
"El último deseo","Andrzej Sapkowski",1993
"Crónicas marcianas","Ray Bradbury",1950
"Fahrenheit 451","Ray Bradbury",1953
